Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,447,1.729,0.21,"$2,000,000 ","$2,554,267 "
2,L. Goretzka,FC Bayern München,414,1.602,0.224,"$425,000 ","$2,419,187 "
3,L. Suárez,Atlético de Madrid,339,1.311,0.179,"$1,800,000 ","$2,109,674 "
4,K. De Bruyne,Manchester City,258,1.001,0.218,"$200,000 ","$1,779,953 "
5,M. Acuña,Sevilla FC,253,0.981,0.143,"$1,300,000 ","$1,758,680 "
6,J. Kimmich,FC Bayern München,245,0.949,0.134,"$100,000 ","$1,724,645 "
7,Paulinho,Al Ahli,239,0.924,0.139,"$3,000,000 ","$1,698,054 "
8,G. Wijnaldum,Paris Saint-Germain,226,0.876,0.213,"$1,300,000 ","$1,647,000 "
9,E. Can,Borussia Dortmund,214,0.829,0.207,"$400,000 ","$1,597,010 "
10,A. Griezmann,Atlético de Madrid,212,0.82,0.121,"$2,000,000 ","$1,587,438 "
11,L. Modric,Real Madrid CF,168,0.651,0.14,"$300,000 ","$1,407,686 "
12,Marcos Llorente,Atlético de Madrid,168,0.65,0.138,"$1,300,000 ","$1,406,623 "
13,Sergio Ramos,Paris Saint-Germain,164,0.634,0.17,"$900,000 ","$1,389,605 "
14,D. Alaba,Real Madrid CF,150,0.582,0.122,NA,"$1,334,297 "
15,Merino,Real Sociedad,143,0.555,0.132,"$700,000 ","$1,305,579 "
16,N. Barella,Inter,142,0.551,0.109,"$60,000 ","$1,301,324 "
17,Alex Telles,Manchester United,138,0.535,0.1,"$300,000 ","$1,284,307 "
18,F. de Jong,FC Barcelona,138,0.533,0.079,"$1,100,000 ","$1,282,179 "
19,M. Sabitzer,FC Bayern München,134,0.52,0.158,"$1,000,000 ","$1,268,352 "
20,J. Cuadrado,Juventus,117,0.453,0.082,"$475,000 ","$1,197,090 "
21,Koke,Atlético de Madrid,111,0.429,0.141,"$1,200,000 ","$1,171,563 "
22,João Cancelo,Manchester City,110,0.424,0.095,"$750,000 ","$1,166,245 "
23,L. Digne,Everton,109,0.421,0.104,"$1,200,000 ","$1,163,054 "
24,F. Kostic,Eintracht Franfurt,102,0.396,0.087,"$400,000 ","$1,136,464 "
25,T. Alexander-Arnold,Liverpool,101,0.389,0.098,"$500,000 ","$1,129,018 "
26,S. Milinkovic-Savic,Lazio,97,0.375,0.162,"$300,000 ","$1,114,128 "
27,A. Vidal,Inter,89,0.345,0.1,"$2,100,000 ","$1,082,219 "
28,P. Pogba,Manchester United,87,0.336,0.103,"$300,000 ","$1,072,646 "
29,Casemiro,Real Madrid CF,86,0.331,0.111,NA,"$1,067,328 "
30,L. Messi,Paris Saint-Germain,85,0.329,0.107,"$425,000 ","$1,065,201 "
31,Renato Sanches,LOSC Lille,84,0.326,0.117,"$100,000 ","$1,062,010 "
32,L. Ocampos,Sevilla FC,84,0.324,0.086,"$300,000 ","$1,059,883 "
33,Jordi Alba,FC Barcelona,81,0.312,0.054,NA,"$1,047,120 "
34,R. Lewandowski,FC Bayern München,78,0.304,0.067,"$900,000 ","$1,038,611 "
35,M. Salah,Liverpool,62,0.242,0.088,"$2,100,000 ","$972,666 "
36,Angeliño,RB Leipzig,61,0.237,0.091,"$2,400,000 ","$967,348 "
37,Cristiano Ronaldo,Manchester United,60,0.233,0.045,NA,"$963,094 "
38,12 Roberto Carlos,FC Anzhi Mahachala,60,0.232,0.066,"$350,000 ","$962,030 "
39,Canales,Real Betis Balompié,56,0.215,0.054,NA,"$943,949 "
40,H. Kane,Tottenham Hotspur,55,0.211,0.096,NA,"$939,694 "
41,19 Dani Alves,Paris Saint-Germain,39,0.151,0.044,NA,"$875,877 "
42,M. Brozovic,Inter,37,0.142,0.043,NA,"$866,305 "
43,M. Verratti,Paris Saint-Germain,34,0.132,0.037,NA,"$855,668 "
44,Saúl,Chelsea,34,0.132,0.037,NA,"$855,668 "
45,Thiago,Liverpool,29,0.113,0.018,NA,"$835,460 "
46,J. Veretout,Roma,26,0.102,0.063,"$625,000 ","$823,760 "
47,J. Henderson,Liverpool,24,0.094,0.028,NA,"$815,251 "
48,I. Gündogan,Manchester City,22,0.086,0.088,"$900,000 ","$806,742 "
49,R. Nainggolan,Royal Antwerp FC,22,0.086,0.114,"$200,000 ","$806,742 "
