Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,222,0.783,0.248,"$1,718,750 ","$1,757,372 "
2,L. Goretzka,FC Bayern München,196,0.692,0.238,"$31,250 ","$1,629,608 "
3,L. Suárez,Atlético de Madrid,190,0.669,0.215,"$812,500 ","$1,597,316 "
4,K. De Bruyne,Manchester City,184,0.649,0.177,"$250,000 ","$1,569,236 "
5,M. Acuña,Sevilla FC,159,0.56,0.219,"$2,321,400 ","$1,444,279 "
6,J. Kimmich,FC Bayern München,157,0.554,0.186,"$109,380 ","$1,435,855 "
7,Paulinho,Al Ahli,126,0.442,0.15,"$1,718,750 ","$1,278,607 "
8,G. Wijnaldum,Paris Saint-Germain,118,0.415,0.148,"$187,500 ","$1,240,699 "
9,E. Can,Borussia Dortmund,116,0.409,0.161,"$843,750 ","$1,232,275 "
10,A. Griezmann,Atlético de Madrid,114,0.401,0.127,"$1,250,000 ","$1,221,043 "
11,L. Modric,Real Madrid CF,110,0.387,0.184,"$1,093,750 ","$1,201,387 "
12,Marcos Llorente,Atlético de Madrid,109,0.385,0.175,"$1,328,130 ","$1,198,579 "
13,Sergio Ramos,Paris Saint-Germain,106,0.373,0.163,"$1,000,000 ","$1,181,731 "
14,D. Alaba,Real Madrid CF,101,0.355,0.112,"$468,750 ","$1,156,459 "
15,Merino,Real Sociedad,100,0.351,0.15,"$28,600 ","$1,150,843 "
16,N. Barella,Inter,97,0.342,0.147,"$156,250 ","$1,138,207 "
17,Alex Telles,Manchester United,85,0.299,0.119,"$314,300 ","$1,077,835 "
18,F. de Jong,FC Barcelona,84,0.297,0.114,"$1,953,130 ","$1,075,027 "
19,M. Sabitzer,FC Bayern München,79,0.279,0.125,"$1,718,750 ","$1,049,755 "
20,J. Cuadrado,Juventus,78,0.275,0.123,"$2,343,750 ","$1,044,139 "
21,Koke,Atlético de Madrid,77,0.272,0.118,"$2,343,750 ","$1,039,927 "
22,João Cancelo,Manchester City,70,0.246,0.08,"$214,300 ","$1,003,423 "
23,L. Digne,Everton,64,0.225,0.102,"$687,500 ","$973,939 "
24,F. Kostic,Eintracht Franfurt,62,0.219,0.133,"$2,142,900 ","$965,515 "
25,T. Alexander-Arnold,Liverpool,59,0.21,0.138,"$296,880 ","$952,879 "
26,S. Milinkovic-Savic,Lazio,59,0.208,0.091,"$28,600 ","$950,071 "
27,A. Vidal,Inter,57,0.202,0.131,"$785,700 ","$941,647 "
28,P. Pogba,Manchester United,57,0.2,0.068,"$1,107,100 ","$938,839 "
29,Casemiro,Real Madrid CF,54,0.19,0.08,"$625,000 ","$924,799 "
30,L. Messi,Paris Saint-Germain,51,0.18,0.085,"$714,300 ","$910,759 "
31,Renato Sanches,LOSC Lille,46,0.163,0.072,"$28,600 ","$886,891 "
32,L. Ocampos,Sevilla FC,43,0.152,0.151,"$1,406,250 ","$871,447 "
33,Jordi Alba,FC Barcelona,42,0.149,0.065,"$28,600 ","$867,235 "
34,R. Lewandowski,FC Bayern München,40,0.142,0.039,"$156,250 ","$857,407 "
35,M. Salah,Liverpool,36,0.127,0.1,"$2,035,700 ","$836,347 "
36,Angeliño,RB Leipzig,35,0.123,0.094,"$2,656,250 ","$830,731 "
37,Cristiano Ronaldo,Manchester United,32,0.114,0.05,"$105,000 ","$818,095 "
38,12 Roberto Carlos,FC Anzhi Mahachala,31,0.11,0.096,"$125,000 ","$812,479 "
39,Canales,Real Betis Balompié,30,0.106,0.177,"$2,214,300 ","$806,863 "
40,H. Kane,Tottenham Hotspur,28,0.1,0.024,"$625,000 ","$798,439 "
41,19 Dani Alves,Paris Saint-Germain,27,0.096,0.05,"$343,750 ","$792,823 "
42,M. Brozovic,Inter,22,0.079,0.05,"$1,000,000 ","$768,955 "
43,M. Verratti,Paris Saint-Germain,22,0.077,0.029,"$285,700 ","$766,147 "
44,Saúl,Chelsea,21,0.072,0.049,"$107,100 ","$759,127 "
45,Thiago,Liverpool,19,0.068,0.076,"$437,500 ","$753,511 "
46,J. Veretout,Roma,18,0.064,0.061,"$28,600 ","$747,895 "
47,J. Henderson,Liverpool,14,0.05,0.058,"$1,156,250 ","$728,239 "
48,I. Gündogan,Manchester City,14,0.05,0.056,"$1,718,750 ","$728,239 "
49,R. Nainggolan,Royal Antwerp FC,14,0.049,0.051,"$78,130 ","$726,835 "
50,T. Delaney,Sevilla FC,11,0.038,0.086,"$531,250 ","$711,391 "
51,Lucas Paquetá,Olympique Lyonnais,9,0.033,0.108,"$142,900 ","$704,371 "
52,F. Kessié,AC Milan,6,0.021,0.074,"$28,600 ","$687,523 "
53,R. Malinovskyi,Atalanta,3,0.012,0.076,"$428,600 ","$674,887 "
54,K. Walker,Manchester City,3,0.012,0.115,"$460,000 ","$674,887 "
55,R. Gosens,Atalanta,1,0.005,0.105,"$685,700 ","$665,059 "
56,S. Mané,Liverpool,-1,-0.002,0.092,"$656,250 ","$655,231 "
57,L. Pellegrini,Roma,-1,-0.003,0.007,"$571,400 ","$653,827 "
58,D. Wass,Valencia CF,-1,-0.004,0.009,"$214,300 ","$652,423 "
59,A. Hakimi,Paris Saint-Germain,-3,-0.011,0.074,"$85,700 ","$642,595 "
60,Y. Tielemans,Leicester City,-4,-0.013,0.059,"$314,300 ","$639,787 "
