Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1, L. Suárez,FC Barcelona,377,1.355,0.231,NA,"$1,270,355 "
2, A. Griezmann,Atlético Madrid,347,1.25,0.297,"$125,000 ","$1,209,660 "
3, L. Modric,Real Madrid,294,1.059,0.194,NA,"$1,099,252 "
4, M. Acuña,Sporting CP,216,0.776,0.16,"$725,000 ","$935,664 "
5, K. De Bruyne,Manchester City,202,0.725,0.139,"$250,000 ","$906,183 "
6, R. Nainggolan,Inter,180,0.646,0.168,"$225,000 ","$860,517 "
7, Bruno Fernandes,Sporting CP,178,0.641,0.135,"$650,000 ","$857,627 "
8, Marcelo,Real Madrid,170,0.611,0.173,"$975,000 ","$840,285 "
9, Alex Telles,FC Porto,158,0.567,0.191,"$675,000 ","$814,851 "
10, G. Bale,Real Madrid,153,0.55,0.172,"$475,000 ","$805,024 "
11, A. Kolarov,Roma,148,0.532,0.121,"$1,500,000 ","$794,619 "
12, A. Vidal,FC Barcelona,142,0.509,0.125,"$750,000 ","$781,324 "
13, A. Florenzi,Roma,137,0.493,0.12,"$150,000 ","$772,075 "
14, P. Pogba,Manchester United,136,0.489,0.08,"$375,000 ","$769,763 "
15, D. Alaba,FC Bayern München,125,0.451,0.086,NA,"$747,797 "
16, Paulinho,Guangzhou Evergrande Taobao FC,116,0.417,0.098,"$150,000 ","$728,144 "
17, Jordi Alba,FC Barcelona,115,0.413,0.092,NA,"$725,831 "
18, Sergio Ramos,Real Madrid,115,0.413,0.065,"$250,000 ","$725,831 "
19, Cristiano Ronaldo,Juventus,109,0.393,0.062,"$700,000 ","$714,270 "
20, L. Goretzka,FC Bayern München,101,0.362,0.1,NA,"$696,351 "
21, A. Witsel,Borussia Dortmund,100,0.36,0.097,NA,"$695,195 "
22, T. Delaney,Borussia Dortmund,96,0.345,0.062,"$200,000 ","$686,524 "
23, L. Messi,FC Barcelona,92,0.332,0.123,"$700,000 ","$679,009 "
24, J. Kimmich,FC Bayern München,90,0.324,0.136,NA,"$674,385 "
25, C. Tolisso,FC Bayern München,90,0.322,0.095,"$800,000 ","$673,229 "
26, G. Bonaventura,Milan,86,0.309,0.152,NA,"$665,714 "
27, Fernandinho,Manchester City,81,0.29,0.09,"$700,000 ","$654,731 "
28, S. Milinkovic-Savic,Lazio,78,0.279,0.089,NA,"$648,373 "
29, Thiago,FC Bayern München,74,0.266,0.147,"$450,000 ","$640,858 "
30, I. Rakitic,FC Barcelona,70,0.251,0.133,"$625,000 ","$632,187 "
31, I. Peri?ic,Inter,65,0.235,0.069,"$450,000 ","$622,938 "
32, Koke,Atlético Madrid,63,0.227,0.124,NA,"$618,314 "
33, G. Wijnaldum,Liverpool,61,0.22,0.148,"$925,000 ","$614,268 "
34, D. Alli,Tottenham Hotspur,61,0.219,0.134,"$400,000 ","$613,689 "
35, B. Matuidi,Juventus,58,0.21,0.051,"$425,000 ","$608,487 "
36, Alex Sandro,Juventus,55,0.198,0.068,NA,"$601,550 "
37, Saúl,Atlético Madrid,50,0.18,0.091,NA,"$591,145 "
38, M. Pjanic,Juventus,50,0.179,0.045,NA,"$590,567 "
39, Marcos Alonso,Chelsea,49,0.176,0.055,NA,"$588,833 "
40, Casemiro,Real Madrid,48,0.173,0.043,"$150,000 ","$587,099 "
41, Ander Herrera,Manchester United,47,0.168,0.114,NA,"$584,209 "
42, Roberto Firmino,Liverpool,43,0.153,0.047,NA,"$575,538 "
43, N. Kanté,Chelsea,32,0.117,0.055,NA,"$554,728 "
44, M. Reus,Borussia Dortmund,31,0.111,0.04,"$850,000 ","$551,260 "
45, K. Walker,Manchester City,28,0.102,0.11,NA,"$546,058 "
46, M. Sissoko,Tottenham Hotspur,28,0.099,0.04,NA,"$544,323 "
47, A. Rabiot,Paris Saint-Germain,28,0.099,0.127,NA,"$544,323 "
48, C. Erkin,Besiktas JK,26,0.094,0.036,"$675,000 ","$541,433 "
49, João Cancelo,Juventus,26,0.094,0.095,NA,"$541,433 "
50, João Moutinho,Wolverhampton Wanderers,26,0.093,0.041,NA,"$540,855 "
51, Allan,Napoli,22,0.079,0.048,"$375,000 ","$532,762 "
52, W. Cyprien,OGC Nice,22,0.078,0.043,"$170,000 ","$532,184 "
53, R. Rodríguez,Milan,21,0.076,0.037,"$250,000 ","$531,028 "
54, H. Kane,Tottenham Hotspur,15,0.053,0.078,NA,"$517,733 "
55, Raúl García,Athletic Club de Bilbao,14,0.05,0.051,"$1,350,000 ","$515,999 "
56, M. Salah,Liverpool,13,0.048,0.088,"$325,000 ","$514,843 "
57, Fabinho,Liverpool,12,0.042,0.03,NA,"$511,374 "
58, T. Lemar,Atlético Madrid,9,0.034,0.088,"$325,000 ","$506,750 "
59, D. Wass,Valencia CF,9,0.031,0.015,NA,"$505,016 "
