Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,379,1.281,0.238,"$1,093,750 ","$2,448,655 "
2,L. Goretzka,FC Bayern München,330,1.113,0.194,"$1,718,750 ","$2,204,319 "
3,L. Suárez,Atlético de Madrid,320,1.082,0.232,"$656,250 ","$2,159,233 "
4,K. De Bruyne,Manchester City,261,0.881,0.157,"$968,750 ","$1,866,902 "
5,M. Acuña,Sevilla FC,249,0.842,0.168,"$812,500 ","$1,810,181 "
6,J. Kimmich,FC Bayern München,230,0.777,0.177,"$460,000 ","$1,715,646 "
7,Paulinho,Al Ahli,227,0.767,0.142,"$1,718,750 ","$1,701,102 "
8,G. Wijnaldum,Paris Saint-Germain,225,0.759,0.137,"$500,000 ","$1,689,467 "
9,E. Can,Borussia Dortmund,181,0.613,0.132,"$105,000 ","$1,477,128 "
10,A. Griezmann,Atlético de Madrid,178,0.602,0.142,"$1,953,130 ","$1,461,129 "
11,L. Modric,Real Madrid CF,177,0.599,0.156,"$937,500 ","$1,456,766 "
12,Marcos Llorente,Atlético de Madrid,169,0.57,0.117,"$156,250 ","$1,414,589 "
13,Sergio Ramos,Paris Saint-Germain,165,0.558,0.123,"$250,000 ","$1,397,137 "
14,D. Alaba,Real Madrid CF,157,0.531,0.086,"$171,400 ","$1,357,868 "
15,Merino,Real Sociedad,156,0.528,0.189,"$1,125,000 ","$1,353,505 "
16,N. Barella,Inter,154,0.52,0.118,"$2,656,250 ","$1,341,870 "
17,Alex Telles,Manchester United,152,0.513,0.165,"$1,406,250 ","$1,331,689 "
18,F. de Jong,FC Barcelona,134,0.454,0.126,"$750,000 ","$1,245,881 "
19,M. Sabitzer,FC Bayern München,128,0.432,0.109,"$281,250 ","$1,213,885 "
20,J. Cuadrado,Juventus,123,0.415,0.092,"$468,750 ","$1,189,160 "
21,Koke,Atlético de Madrid,122,0.412,0.125,"$1,093,750 ","$1,184,797 "
22,João Cancelo,Manchester City,119,0.402,0.082,"$28,600 ","$1,170,253 "
23,L. Digne,Everton,113,0.381,0.087,"$312,500 ","$1,139,711 "
24,F. Kostic,Eintracht Franfurt,109,0.368,0.135,"$1,200,000 ","$1,120,804 "
25,T. Alexander-Arnold,Liverpool,105,0.355,0.146,"$685,700 ","$1,101,897 "
26,S. Milinkovic-Savic,Lazio,104,0.353,0.153,"$685,700 ","$1,098,988 "
27,A. Vidal,Inter,104,0.35,0.096,"$343,750 ","$1,094,625 "
28,P. Pogba,Manchester United,101,0.341,0.124,"$437,500 ","$1,081,536 "
29,Casemiro,Real Madrid CF,101,0.34,0.16,"$28,600 ","$1,080,081 "
30,L. Messi,Paris Saint-Germain,96,0.325,0.073,"$78,130 ","$1,058,266 "
31,Renato Sanches,LOSC Lille,85,0.286,0.115,"$1,718,750 ","$1,001,545 "
32,L. Ocampos,Sevilla FC,78,0.263,0.074,"$406,250 ","$968,094 "
33,Jordi Alba,FC Barcelona,76,0.256,0.101,"$28,600 ","$957,913 "
34,R. Lewandowski,FC Bayern München,71,0.24,0.052,"$71,400 ","$934,643 "
35,M. Salah,Liverpool,70,0.237,0.073,"$228,600 ","$930,280 "
36,Angeliño,RB Leipzig,69,0.234,0.081,"$600,000 ","$925,917 "
37,Cristiano Ronaldo,Manchester United,64,0.215,0.046,"$71,400 ","$898,284 "
38,12 Roberto Carlos,FC Anzhi Mahachala,62,0.208,0.107,"$843,750 ","$888,103 "
39,Canales,Real Betis Balompié,59,0.2,0.084,"$2,343,750 ","$876,468 "
