Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,L. Goretzka,FC Bayern München,268,0.948,0.205,NA,"$1,047,446 "
2,Bruno Fernandes,Manchester United,239,0.845,0.223,"$650,000 ","$990,667 "
3,M. Acuña,Sevilla FC,195,0.691,0.146,"$475,000 ","$905,775 "
4,K. De Bruyne,Manchester City,160,0.566,0.126,"$1,550,000 ","$836,869 "
5,N. Barella,Inter,157,0.556,0.268,"$900,000 ","$831,356 "
6,J. Kimmich,FC Bayern München,157,0.556,0.121,NA,"$831,356 "
7,D. Alaba,Real Madrid CF,156,0.552,0.133,NA,"$829,151 "
8,22 Paulinho,Al Ahli,145,0.513,0.125,NA,"$807,652 "
9,E. Can,Borussia Dortmund,124,0.438,0.09,NA,"$766,309 "
10,João Cancelo,Manchester City,115,0.405,0.097,"$725,000 ","$748,117 "
11,L. Pellegrini,Roma,106,0.374,0.182,"$925,000 ","$731,029 "
12,L. Modric,Real Madrid CF,100,0.354,0.148,NA,"$720,004 "
13,S. Milinkovic-Savic,Lazio,100,0.353,0.133,NA,"$719,452 "
14,Merino,Real Sociedad,95,0.336,0.157,"$850,000 ","$710,081 "
15,Marcos Llorente,Atlético de Madrid,92,0.326,0.151,"$750,000 ","$704,569 "
16,R. De Paul,Atlético de Madrid,87,0.309,0.126,NA,"$695,197 "
17,I. Peri?ic,Tottenham Hotspur,86,0.305,0.109,NA,"$692,992 "
18,F. de Jong,FC Barcelona,80,0.283,0.121,NA,"$680,865 "
19,A. Griezmann,Atlético de Madrid,76,0.271,0.138,NA,"$674,250 "
20,J. Cuadrado,Juventus,76,0.268,0.06,NA,"$672,596 "
21,F. Kostic,Eintracht Frankfurt,76,0.268,0.109,"$450,000 ","$672,596 "
22,T. Alexander-Arnold,Liverpool,73,0.26,0.136,"$500,000 ","$668,186 "
23,L. Suárez,Club Nacional de Football,70,0.249,0.076,"$1,500,000 ","$662,122 "
24,A. Hakimi,Paris Saint-Germain,70,0.248,0.124,"$600,000 ","$661,571 "
