Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,351,1.221,0.214,"$468,750 ","$2,397,239 "
2,L. Goretzka,FC Bayern München,328,1.141,0.193,"$1,718,750 ","$2,280,549 "
3,L. Suárez,Atlético de Madrid,327,1.137,0.198,"$343,750 ","$2,274,714 "
4,K. De Bruyne,Manchester City,322,1.122,0.201,"$2,343,750 ","$2,252,835 "
5,M. Acuña,Sevilla FC,290,1.011,0.167,"$2,343,750 ","$2,090,927 "
6,J. Kimmich,FC Bayern München,274,0.952,0.156,"$687,500 ","$2,004,868 "
7,Paulinho,Al Ahli,251,0.874,0.163,"$1,156,250 ","$1,891,094 "
8,G. Wijnaldum,Paris Saint-Germain,233,0.811,0.156,"$1,718,750 ","$1,799,201 "
9,E. Can,Borussia Dortmund,228,0.794,0.153,"$2,656,250 ","$1,774,404 "
10,A. Griezmann,Atlético de Madrid,159,0.554,0.11,"$1,093,750 ","$1,424,332 "
11,L. Modric,Real Madrid CF,155,0.54,0.13,"$500,000 ","$1,403,912 "
12,Marcos Llorente,Atlético de Madrid,153,0.532,0.118,"$78,130 ","$1,392,243 "
13,Sergio Ramos,Paris Saint-Germain,135,0.47,0.185,"$1,718,750 ","$1,301,807 "
14,D. Alaba,Real Madrid CF,121,0.421,0.102,"$312,500 ","$1,230,334 "
15,Merino,Real Sociedad,116,0.403,0.116,"$1,718,750 ","$1,204,079 "
16,N. Barella,Inter,112,0.389,0.117,"$812,500 ","$1,183,658 "
17,Alex Telles,Manchester United,111,0.386,0.179,"$625,000 ","$1,179,282 "
18,F. de Jong,FC Barcelona,106,0.368,0.125,"$1,500,000 ","$1,153,027 "
19,M. Sabitzer,FC Bayern München,100,0.348,0.165,"$1,125,000 ","$1,123,854 "
20,J. Cuadrado,Juventus,92,0.321,0.074,"$31,250 ","$1,084,471 "
21,Koke,Atlético de Madrid,90,0.314,0.13,"$1,093,750 ","$1,074,261 "
22,João Cancelo,Manchester City,85,0.295,0.113,"$625,000 ","$1,046,547 "
23,L. Digne,Everton,84,0.293,0.094,"$1,250,000 ","$1,043,630 "
24,F. Kostic,Eintracht Franfurt,76,0.263,0.076,"$500,000 ","$999,871 "
25,T. Alexander-Arnold,Liverpool,71,0.248,0.092,"$625,000 ","$977,991 "
26,S. Milinkovic-Savic,Lazio,71,0.246,0.172,"$1,406,250 ","$975,074 "
27,A. Vidal,Inter,66,0.231,0.067,"$312,500 ","$953,195 "
28,P. Pogba,Manchester United,66,0.229,0.064,"$281,250 ","$950,277 "
29,Casemiro,Real Madrid CF,64,0.223,0.108,"$31,250 ","$941,525 "
30,L. Messi,Paris Saint-Germain,56,0.196,0.045,"$31,250 ","$902,142 "
31,Renato Sanches,LOSC Lille,45,0.157,0.077,"$468,750 ","$845,256 "
32,L. Ocampos,Sevilla FC,41,0.144,0.102,"$531,250 ","$826,294 "
33,Jordi Alba,FC Barcelona,41,0.143,0.112,"$906,250 ","$824,835 "
34,R. Lewandowski,FC Bayern München,41,0.143,0.122,"$656,250 ","$824,835 "
35,M. Salah,Liverpool,38,0.133,0.099,"$406,250 ","$810,249 "
36,Angeliño,RB Leipzig,36,0.124,0.02,"$85,940 ","$797,121 "
37,Cristiano Ronaldo,Manchester United,31,0.109,0.133,"$1,375,000 ","$775,242 "
38,12 Roberto Carlos,FC Anzhi Mahachala,28,0.097,0.152,"$1,328,130 ","$757,738 "
39,Canales,Real Betis Balompié,26,0.092,0.066,"$296,880 ","$750,445 "
40,H. Kane,Tottenham Hotspur,25,0.089,0.05,"$187,500 ","$746,069 "
41,19 Dani Alves,Paris Saint-Germain,25,0.088,0.096,"$593,750 ","$744,610 "
42,M. Brozovic,Inter,24,0.085,0.062,"$15,620 ","$740,234 "
43,M. Verratti,Paris Saint-Germain,24,0.085,0.101,"$50,000 ","$740,234 "
44,Saúl,Chelsea,24,0.084,0.014,"$1,218,750 ","$738,776 "
45,Thiago,Liverpool,22,0.076,0.026,"$478,000 ","$727,107 "
46,J. Veretout,Roma,20,0.069,0.039,"$250,000 ","$716,896 "
47,J. Henderson,Liverpool,19,0.067,0.024,"$468,750 ","$713,979 "
48,I. Gündogan,Manchester City,18,0.061,0.06,"$78,130 ","$705,227 "
49,R. Nainggolan,Royal Antwerp FC,18,0.061,0.114,"$343,750 ","$705,227 "
50,T. Delaney,Sevilla FC,16,0.056,0.036,"$78,130 ","$697,934 "
