Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,L. Goretzka,FC Bayern München,300,1.08,0.188,"$1,583,333 ","$1,689,095 "
2,Bruno Fernandes,Manchester United,274,0.986,0.18,"$1,333,333 ","$1,585,393 "
3,M. Acuña,Sevilla FC,251,0.901,0.227,"$666,667 ","$1,491,620 "
4,K. De Bruyne,Manchester City,243,0.874,0.172,"$916,000 ","$1,461,833 "
5,N. Barella,Inter,242,0.871,0.201,"$166,000 ","$1,458,524 "
6,J. Kimmich,FC Bayern München,241,0.867,0.16,"$833,000 ","$1,454,111 "
7,D. Alaba,Real Madrid CF,240,0.862,0.185,"$366,000 ","$1,448,595 "
8,22 Paulinho,Al Ahli,229,0.824,0.152,"$2,500,000 ","$1,406,673 "
9,E. Can,Borussia Dortmund,225,0.809,0.174,"$16,000 ","$1,390,125 "
10,João Cancelo,Manchester City,221,0.795,0.176,NA,"$1,374,680 "
11,L. Pellegrini,Roma,218,0.784,0.176,"$1,350,000 ","$1,362,544 "
12,L. Modric,Real Madrid CF,204,0.734,0.182,"$100,000 ","$1,307,384 "
13,S. Milinkovic-Savic,Lazio,185,0.664,0.163,"$1,400,000 ","$1,230,159 "
14,Merino,Real Sociedad,124,0.446,0.14,"$900,000 ","$989,659 "
15,Marcos Llorente,Atlético de Madrid,123,0.443,0.161,"$333,000 ","$986,349 "
16,R. De Paul,Atlético de Madrid,110,0.395,0.104,"$1,916,667 ","$933,395 "
17,I. Peri?ic,Tottenham Hotspur,109,0.392,0.071,"$116,000 ","$930,086 "
18,F. de Jong,FC Barcelona,104,0.375,0.081,"$83,333 ","$911,331 "
19,A. Griezmann,Atlético de Madrid,102,0.367,0.142,"$50,000 ","$902,505 "
20,J. Cuadrado,Juventus,100,0.36,0.126,"$233,333 ","$894,783 "
21,F. Kostic,Eintracht Frankfurt,97,0.349,0.144,"$466,667 ","$882,648 "
22,T. Alexander-Arnold,Liverpool,93,0.336,0.117,"$433,333 ","$868,306 "
23,L. Suárez,Club Nacional de Football,90,0.325,0.1,"$541,000 ","$856,170 "
24,A. Hakimi,Paris Saint-Germain,88,0.315,0.104,"$791,000 ","$845,138 "
25,M. Brozovic,Inter,83,0.297,0.065,NA,"$825,281 "
26,M. Salah,Liverpool,82,0.295,0.106,"$541,000 ","$823,074 "
27,S. Tonali,AC Milan,81,0.291,0.124,"$708,000 ","$818,661 "
28,Thiago,Liverpool,80,0.288,0.095,NA,"$815,352 "
29,R. James,Chelsea,73,0.263,0.116,"$66,000 ","$787,771 "
30,Jordi Alba,FC Barcelona,72,0.26,0.086,"$250,000 ","$784,462 "
31,T. Lemar,Atlético de Madrid,70,0.251,0.083,"$466,000 ","$774,533 "
32,Renato Sanches,Paris Saint-Germain,66,0.236,0.096,"$833,333 ","$757,985 "
33,Canales,Real Betis Balompié,53,0.191,0.096,"$2,083,333 ","$708,340 "
34,I. Bennacer,AC Milan,51,0.182,0.039,"$33,000 ","$698,411 "
35,Alex Telles,Sevilla FC,47,0.167,0.087,"$233,000 ","$681,863 "
36,R. Malinovskyi,Atalanta,44,0.158,0.161,"$1,300,000 ","$671,934 "
37,W. McKennie,Juventus,42,0.152,0.033,"$583,000 ","$665,315 "
