Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,354,1.286,0.212,"$650,000 ","$1,644,515 "
2,L. Goretzka,FC Bayern München,304,1.103,0.208,"$300,000 ","$1,500,824 "
3,L. Suárez,Atlético de Madrid,298,1.082,0.187,"$700,000 ","$1,484,335 "
4,K. De Bruyne,Manchester City,221,0.804,0.148,"$2,400,000 ","$1,266,050 "
5,M. Acuña,Sevilla FC,217,0.787,0.156,NA,"$1,252,702 "
6,J. Kimmich,FC Bayern München,199,0.721,0.174,"$475,000 ","$1,200,879 "
7,Paulinho,Al Ahli,190,0.69,0.126,"$1,100,000 ","$1,176,538 "
8,G. Wijnaldum,Paris Saint-Germain,175,0.634,0.124,"$1,400,000 ","$1,132,567 "
9,E. Can,Borussia Dortmund,172,0.624,0.172,NA,"$1,124,715 "
10,A. Griezmann,Atlético de Madrid,155,0.563,0.106,"$200,000 ","$1,076,818 "
11,L. Modric,Real Madrid CF,147,0.533,0.105,NA,"$1,053,262 "
12,Marcos Llorente,Atlético de Madrid,147,0.532,0.115,NA,"$1,052,477 "
13,Sergio Ramos,Paris Saint-Germain,140,0.51,0.096,"$500,000 ","$1,035,202 "
14,D. Alaba,Real Madrid CF,124,0.45,0.088,"$1,550,000 ","$988,090 "
15,Merino,Real Sociedad,118,0.428,0.095,NA,"$970,816 "
16,N. Barella,Inter,115,0.417,0.185,"$200,000 ","$962,179 "
17,Alex Telles,Manchester United,109,0.397,0.066,NA,"$946,475 "
18,F. de Jong,FC Barcelona,106,0.384,0.087,"$1,100,000 ","$936,267 "
19,M. Sabitzer,FC Bayern München,103,0.372,0.089,"$425,000 ","$926,845 "
20,J. Cuadrado,Juventus,101,0.365,0.057,NA,"$921,349 "
21,Koke,Atlético de Madrid,99,0.359,0.116,"$125,000 ","$916,637 "
22,João Cancelo,Manchester City,95,0.346,0.085,NA,"$906,430 "
23,L. Digne,Everton,94,0.342,0.095,"$220,000 ","$903,289 "
24,F. Kostic,Eintracht Franfurt,94,0.341,0.089,"$1,500,000 ","$902,504 "
25,T. Alexander-Arnold,Liverpool,94,0.34,0.114,NA,"$901,719 "
26,S. Milinkovic-Savic,Lazio,93,0.338,0.092,"$300,000 ","$900,148 "
27,A. Vidal,Inter,87,0.316,0.117,"$1,200,000 ","$882,874 "
28,P. Pogba,Manchester United,86,0.314,0.091,NA,"$881,304 "
29,Casemiro,Real Madrid CF,86,0.311,0.066,"$375,000 ","$878,948 "
30,L. Messi,Paris Saint-Germain,80,0.291,0.133,"$200,000 ","$863,244 "
31,Renato Sanches,LOSC Lille,80,0.291,0.084,"$50,000 ","$863,244 "
32,L. Ocampos,Sevilla FC,78,0.282,0.162,"$750,000 ","$856,177 "
33,Jordi Alba,FC Barcelona,74,0.268,0.118,"$2,000,000 ","$845,184 "
34,R. Lewandowski,FC Bayern München,74,0.268,0.066,"$325,000 ","$845,184 "
35,M. Salah,Liverpool,71,0.258,0.063,"$750,000 ","$837,332 "
36,Angeliño,RB Leipzig,71,0.258,0.089,"$1,400,000 ","$837,332 "
37,Cristiano Ronaldo,Manchester United,66,0.241,0.058,"$900,000 ","$823,984 "
38,12 Roberto Carlos,FC Anzhi Mahachala,66,0.24,0.053,"$80,000 ","$823,199 "
39,Canales,Real Betis Balompié,66,0.24,0.092,"$400,000 ","$823,199 "
40,H. Kane,Tottenham Hotspur,64,0.234,0.103,"$425,000 ","$818,488 "
41,19 Dani Alves,Paris Saint-Germain,61,0.221,0.119,"$500,000 ","$808,280 "
42,M. Brozovic,Inter,60,0.218,0.033,"$50,000 ","$805,925 "
43,M. Verratti,Paris Saint-Germain,54,0.196,0.101,NA,"$788,650 "
44,Saúl,Chelsea,52,0.189,0.043,NA,"$783,154 "
45,Thiago,Liverpool,50,0.18,0.043,"$50,000 ","$776,087 "
46,J. Veretout,Roma,48,0.173,0.08,NA,"$770,591 "
47,J. Henderson,Liverpool,46,0.167,0.043,NA,"$765,880 "
48,I. Gündogan,Manchester City,45,0.164,0.029,NA,"$763,524 "
49,R. Nainggolan,Royal Antwerp FC,44,0.161,0.058,NA,"$761,168 "
50,T. Delaney,Sevilla FC,43,0.158,0.056,"$300,000 ","$758,813 "
51,Lucas Paquetá,Olympique Lyonnais,41,0.148,0.048,"$700,000 ","$750,961 "
52,F. Kessié,AC Milan,40,0.146,0.066,"$475,000 ","$749,390 "
53,R. Malinovskyi,Atalanta,38,0.136,0.057,"$800,000 ","$741,538 "
54,K. Walker,Manchester City,37,0.134,0.102,"$700,000 ","$739,968 "
55,R. Gosens,Atalanta,35,0.129,0.094,"$2,100,000 ","$736,042 "
56,S. Mané,Liverpool,28,0.102,0.05,NA,"$714,842 "
