Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,285,0.968,0.21,"$833,000 ","$1,696,711 "
2,L. Goretzka,FC Bayern München,229,0.779,0.143,"$2,083,333 ","$1,466,583 "
3,L. Suárez,Atlético de Madrid,218,0.742,0.167,"$916,000 ","$1,421,532 "
4,K. De Bruyne,Manchester City,209,0.711,0.152,"$1,350,000 ","$1,383,786 "
5,M. Acuña,Sevilla FC,208,0.707,0.175,"$333,000 ","$1,378,916 "
6,J. Kimmich,FC Bayern München,200,0.681,0.171,"$333,000 ","$1,347,258 "
7,Paulinho,Al Ahli,192,0.654,0.138,"$833,333 ","$1,314,383 "
8,G. Wijnaldum,Paris Saint-Germain,191,0.65,0.14,NA,"$1,309,512 "
9,E. Can,Borussia Dortmund,190,0.648,0.181,"$708,000 ","$1,307,077 "
10,A. Griezmann,Atlético de Madrid,169,0.576,0.145,"$141,000 ","$1,219,410 "
11,L. Modric,Real Madrid CF,169,0.574,0.166,"$700,000 ","$1,216,974 "
12,Marcos Llorente,Atlético de Madrid,153,0.521,0.097,"$16,000 ","$1,152,441 "
13,Sergio Ramos,Paris Saint-Germain,150,0.51,0.1,"$58,333 ","$1,139,048 "
14,D. Alaba,Real Madrid CF,135,0.459,0.166,"$750,000 ","$1,076,950 "
15,Merino,Real Sociedad,103,0.349,0.172,"$916,667 ","$943,013 "
16,N. Barella,Inter,95,0.323,0.128,"$541,000 ","$911,355 "
17,Alex Telles,Manchester United,86,0.294,0.06,"$333,000 ","$876,045 "
18,F. de Jong,FC Barcelona,85,0.29,0.094,"$1,333,333 ","$871,174 "
19,M. Sabitzer,FC Bayern München,83,0.282,0.098,"$1,583,333 ","$861,434 "
20,J. Cuadrado,Juventus,81,0.276,0.155,"$1,583,333 ","$854,128 "
21,Koke,Atlético de Madrid,80,0.272,0.049,"$1,400,000 ","$849,257 "
22,João Cancelo,Manchester City,79,0.269,0.115,"$366,000 ","$845,605 "
23,L. Digne,Everton,78,0.264,0.08,"$791,000 ","$839,517 "
24,F. Kostic,Eintracht Franfurt,77,0.263,0.12,"$1,916,667 ","$838,299 "
25,T. Alexander-Arnold,Liverpool,70,0.239,0.148,"$466,000 ","$809,076 "
26,S. Milinkovic-Savic,Lazio,67,0.229,0.103,"$708,000 ","$796,900 "
27,A. Vidal,Inter,67,0.228,0.056,"$16,000 ","$795,683 "
28,P. Pogba,Manchester United,66,0.224,0.115,"$2,083,333 ","$790,812 "
29,Casemiro,Real Madrid CF,64,0.219,0.054,"$333,000 ","$784,724 "
30,L. Messi,Paris Saint-Germain,63,0.214,0.074,"$83,000 ","$778,636 "
31,Renato Sanches,LOSC Lille,56,0.189,0.117,"$16,000 ","$748,196 "
32,L. Ocampos,Sevilla FC,52,0.177,0.134,"$2,333,000 ","$733,585 "
33,Jordi Alba,FC Barcelona,48,0.164,0.076,"$125,000 ","$717,756 "
34,R. Lewandowski,FC Bayern München,47,0.161,0.049,NA,"$714,103 "
35,M. Salah,Liverpool,46,0.157,0.128,"$500,000 ","$709,233 "
36,Angeliño,RB Leipzig,42,0.144,0.07,NA,"$693,404 "
37,Cristiano Ronaldo,Manchester United,41,0.14,0.156,"$366,000 ","$688,534 "
38,12 Roberto Carlos,FC Anzhi Mahachala,36,0.124,0.147,"$125,000 ","$669,052 "
39,Canales,Real Betis Balompié,33,0.113,0.044,"$666,000 ","$655,658 "
40,H. Kane,Tottenham Hotspur,32,0.11,0.122,"$533,000 ","$652,005 "
41,19 Dani Alves,Paris Saint-Germain,31,0.107,0.021,"$708,000 ","$648,353 "
42,M. Brozovic,Inter,32,0.107,0.072,"$541,000 ","$648,353 "
43,M. Verratti,Paris Saint-Germain,31,0.104,0.101,"$283,000 ","$644,700 "
44,Saúl,Chelsea,27,0.092,0.082,"$666,000 ","$630,088 "
45,Thiago,Liverpool,25,0.087,0.058,"$166,000 ","$624,000 "
46,J. Veretout,Roma,26,0.087,0.145,"$1,083,000 ","$624,000 "
47,J. Henderson,Liverpool,26,0.087,0.128,"$1,250,000 ","$624,000 "
48,I. Gündogan,Manchester City,21,0.071,0.084,"$2,500,000 ","$604,519 "
49,R. Nainggolan,Royal Antwerp FC,19,0.065,0.094,"$300,000 ","$597,213 "
50,T. Delaney,Sevilla FC,16,0.056,0.029,"$400,000 ","$586,255 "
51,Lucas Paquetá,Olympique Lyonnais,16,0.055,0.13,"$833,000 ","$585,037 "
52,F. Kessié,AC Milan,14,0.048,0.049,"$116,000 ","$576,514 "
53,R. Malinovskyi,Atalanta,14,0.046,0.023,"$366,000 ","$574,079 "
54,K. Walker,Manchester City,12,0.041,0.076,"$1,500,000 ","$567,991 "
55,R. Gosens,Atalanta,11,0.038,0.045,"$316,000 ","$564,338 "
56,S. Mané,Liverpool,11,0.038,0.014,"$125,000 ","$564,338 "
57,L. Pellegrini,Roma,10,0.035,0.044,"$466,000 ","$560,685 "
58,D. Wass,Valencia CF,8,0.027,0.017,"$666,667 ","$550,944 "
59,A. Hakimi,Paris Saint-Germain,7,0.025,0.12,"$625,000 ","$548,509 "
60,Y. Tielemans,Leicester City,6,0.021,0.01,"$133,000 ","$543,638 "
61,Ricardo Pereira,Leicester City,4,0.014,0.003,"$50,000 ","$535,115 "
62,T. Hernández,AC Milan,3,0.011,0.06,"$541,000 ","$531,462 "
63,Grimaldo,SL Benfica,3,0.01,0.009,"$50,000 ","$530,245 "
64,21 Renato Augusto,Beijing Guoan FC,2,0.008,0.133,"$1,000,000 ","$527,810 "
65,Neymar Jr,Paris Saint-Germain,2,0.007,0.098,"$466,000 ","$526,592 "
66,K. Trippier,Atlético de Madrid,2,0.006,0.018,"$216,000 ","$525,374 "
67,N. De la Cruz,River Plate,1,0.004,0.009,"$33,000 ","$522,939 "
68,12 M. Ballack,Bayer 04 Leverusen,0,0.001,0.008,"$83,000 ","$519,286 "
69,Roberto Firmino,Liverpool,0,-0.001,0.072,NA,"$516,851 "
70,19 C. Marchisio,Juventus,-1,-0.003,0.012,"$50,000 ","$514,416 "
71,R. De Paul,Atlético de Madrid,-1,-0.003,0.011,NA,"$514,416 "
72,N. Kanté,Chelsea,-1,-0.005,0.022,"$700,000 ","$511,981 "
73,A. Florenzi,AC Milan,-2,-0.008,0.022,"$50,000 ","$508,328 "
74,Yuri Berchiche,Athletic Club de Bilbao,-4,-0.013,0.008,"$16,000 ","$502,240 "
75,G. Bale,Real Madrid CF,-5,-0.018,0.087,NA,"$496,152 "
76,Portu,Real Sociedad,-6,-0.02,0.064,"$183,000 ","$493,717 "
77,A. Di María,Paris Saint-Germain,-8,-0.028,0.031,"$166,000 ","$483,976 "
78,21 I. Fernández,River Plate,-13,-0.044,0.022,NA,"$464,494 "
