Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,L. Goretzka,FC Bayern München,351,1.303,0.239,"$650,000 ","$1,674,414 "
2,Bruno Fernandes,Manchester United,325,1.207,0.207,NA,"$1,592,801 "
3,M. Acuña,Sevilla FC,267,0.99,0.16,"$800,000 ","$1,408,322 "
4,K. De Bruyne,Manchester City,246,0.912,0.149,"$400,000 ","$1,342,011 "
5,N. Barella,Inter,217,0.807,0.166,NA,"$1,252,747 "
6,J. Kimmich,FC Bayern München,199,0.739,0.159,NA,"$1,194,938 "
7,D. Alaba,Real Madrid CF,193,0.715,0.121,NA,"$1,174,534 "
8,22 Paulinho,Al Ahli,187,0.695,0.154,"$700,000 ","$1,157,532 "
9,E. Can,Borussia Dortmund,185,0.687,0.12,"$425,000 ","$1,150,731 "
10,João Cancelo,Manchester City,183,0.68,0.135,"$425,000 ","$1,144,780 "
11,L. Pellegrini,Roma,174,0.646,0.118,"$475,000 ","$1,115,875 "
12,L. Modric,Real Madrid CF,164,0.608,0.17,NA,"$1,083,570 "
13,S. Milinkovic-Savic,Lazio,161,0.596,0.111,"$1,500,000 ","$1,073,368 "
14,Merino,Real Sociedad,158,0.587,0.166,"$2,100,000 ","$1,065,717 "
15,Marcos Llorente,Atlético de Madrid,151,0.56,0.149,"$1,800,000 ","$1,042,763 "
16,R. De Paul,Atlético de Madrid,140,0.521,0.135,NA,"$1,009,608 "
17,I. Peri?ic,Tottenham Hotspur,133,0.494,0.11,NA,"$986,655 "
18,F. de Jong,FC Barcelona,132,0.49,0.11,"$700,000 ","$983,254 "
19,A. Griezmann,Atlético de Madrid,131,0.486,0.162,"$1,100,000 ","$979,853 "
20,J. Cuadrado,Juventus,127,0.471,0.118,"$300,000 ","$967,101 "
21,F. Kostic,Eintracht Frankfurt,126,0.468,0.162,NA,"$964,551 "
22,T. Alexander-Arnold,Liverpool,125,0.464,0.14,"$300,000 ","$961,150 "
23,L. Suárez,Club Nacional de Football,121,0.448,0.115,"$2,400,000 ","$947,548 "
24,A. Hakimi,Paris Saint-Germain,105,0.391,0.079,"$1,100,000 ","$899,091 "
25,M. Brozovic,Inter,93,0.347,0.072,"$425,000 ","$861,685 "
26,M. Salah,Liverpool,91,0.337,0.129,"$850,000 ","$853,183 "
27,S. Tonali,AC Milan,85,0.316,0.096,NA,"$835,330 "
28,Thiago,Liverpool,82,0.304,0.097,"$500,000 ","$825,129 "
29,R. James,Chelsea,81,0.301,0.06,"$290,000 ","$822,578 "
30,Jordi Alba,FC Barcelona,67,0.248,0.09,"$2,000,000 ","$777,521 "
31,T. Lemar,Atlético de Madrid,60,0.221,0.103,"$900,000 ","$754,568 "
32,Renato Sanches,Paris Saint-Germain,57,0.21,0.074,"$160,000 ","$745,216 "
33,Canales,Real Betis Balompié,53,0.197,0.042,"$50,000 ","$734,164 "
34,I. Bennacer,AC Milan,51,0.188,0.111,"$950,000 ","$726,513 "
35,Alex Telles,Sevilla FC,49,0.183,0.101,"$900,000 ","$722,262 "
36,R. Malinovskyi,Atalanta,49,0.183,0.038,"$150,000 ","$722,262 "
37,W. McKennie,Juventus,47,0.173,0.105,NA,"$713,761 "
38,Casemiro,Real Madrid CF,42,0.157,0.051,"$850,000 ","$700,159 "
39,Angeliño,TSG Hoffenheim,42,0.157,0.028,"$100,000 ","$700,159 "
40,F. Kessié,FC Barcelona,42,0.155,0.051,"$1,000,000 ","$698,459 "
