Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1, L. Suárez,FC Barcelona,338,1.366,0.238,"$375,000 ","$1,331,596 "
2, A. Griezmann,Atlético Madrid,256,1.037,0.195,"$300,000 ","$1,145,098 "
3, L. Modric,Real Madrid,191,0.775,0.177,"$950,000 ","$996,579 "
4, M. Acuña,Sporting CP,189,0.766,0.196,NA,"$991,477 "
5, K. De Bruyne,Manchester City,156,0.63,0.174,"$750,000 ","$914,384 "
6, R. Nainggolan,Inter,149,0.601,0.181,"$500,000 ","$897,945 "
7, Bruno Fernandes,Sporting CP,143,0.578,0.108,"$1,500,000 ","$884,907 "
8, Marcelo,Real Madrid,139,0.564,0.154,NA,"$876,971 "
9, Alex Telles,FC Porto,135,0.545,0.129,"$575,000 ","$866,200 "
10, G. Bale,Real Madrid,127,0.513,0.135,"$275,000 ","$848,061 "
11, A. Kolarov,Roma,122,0.493,0.147,NA,"$836,723 "
12, A. Vidal,FC Barcelona,121,0.491,0.123,"$700,000 ","$835,590 "
13, A. Florenzi,Roma,121,0.489,0.093,NA,"$834,456 "
14, P. Pogba,Manchester United,119,0.48,0.135,"$1,350,000 ","$829,354 "
15, D. Alaba,FC Bayern München,117,0.473,0.149,"$700,000 ","$825,386 "
16, Paulinho,Guangzhou Evergrande Taobao FC,108,0.438,0.151,"$250,000 ","$805,546 "
17, Jordi Alba,FC Barcelona,107,0.431,0.184,"$650,000 ","$801,578 "
18, Sergio Ramos,Real Madrid,102,0.412,0.093,NA,"$790,807 "
19, Cristiano Ronaldo,Juventus,101,0.408,0.084,"$475,000 ","$788,540 "
20, L. Goretzka,FC Bayern München,99,0.4,0.099,"$525,000 ","$784,005 "
21, A. Witsel,Borussia Dortmund,97,0.393,0.075,NA,"$780,037 "
22, T. Delaney,Borussia Dortmund,96,0.389,0.073,NA,"$777,770 "
23, L. Messi,FC Barcelona,88,0.354,0.105,NA,"$757,929 "
24, J. Kimmich,FC Bayern München,82,0.331,0.12,"$600,000 ","$744,891 "
25, C. Tolisso,FC Bayern München,81,0.327,0.16,NA,"$742,624 "
26, G. Bonaventura,Milan,74,0.298,0.11,NA,"$726,185 "
27, Fernandinho,Manchester City,61,0.248,0.151,"$875,000 ","$697,842 "
28, S. Milinkovic-Savic,Lazio,57,0.23,0.037,NA,"$687,638 "
29, Thiago,FC Bayern München,53,0.216,0.046,NA,"$679,702 "
30, I. Rakitic,FC Barcelona,51,0.208,0.08,NA,"$675,167 "
31, I. Peri?ic,Inter,46,0.184,0.029,"$175,000 ","$661,562 "
32, Koke,Atlético Madrid,45,0.182,0.027,"$50,000 ","$660,429 "
33, G. Wijnaldum,Liverpool,44,0.179,0.098,NA,"$658,728 "
34, D. Alli,Tottenham Hotspur,43,0.174,0.09,NA,"$655,894 "
35, B. Matuidi,Juventus,43,0.174,0.158,NA,"$655,894 "
36, Alex Sandro,Juventus,38,0.153,0.042,"$200,000 ","$643,990 "
37, Saúl,Atlético Madrid,37,0.15,0.117,NA,"$642,289 "
38, M. Pjanic,Juventus,36,0.148,0.109,NA,"$641,155 "
39, Marcos Alonso,Chelsea,32,0.129,0.051,"$450,000 ","$630,385 "
40, Casemiro,Real Madrid,30,0.121,0.036,"$225,000 ","$625,850 "
41, Ander Herrera,Manchester United,27,0.109,0.141,NA,"$619,047 "
42, Roberto Firmino,Liverpool,26,0.106,0.065,NA,"$617,347 "
43, N. Kanté,Chelsea,26,0.105,0.036,NA,"$616,780 "
44, M. Reus,Borussia Dortmund,24,0.096,0.02,NA,"$611,678 "
45, K. Walker,Manchester City,22,0.088,0.049,NA,"$607,143 "
46, M. Sissoko,Tottenham Hotspur,19,0.076,0.036,NA,"$600,341 "
47, A. Rabiot,Paris Saint-Germain,19,0.075,0.021,NA,"$599,774 "
48, C. Erkin,Besiktas JK,18,0.072,0.027,NA,"$598,073 "
49, João Cancelo,Juventus,18,0.072,0.034,"$625,000 ","$598,073 "
50, João Moutinho,Wolverhampton Wanderers,16,0.065,0.011,NA,"$594,105 "
51, Allan,Napoli,16,0.065,0.052,"$170,000 ","$594,105 "
52, W. Cyprien,OGC Nice,15,0.06,0.04,"$450,000 ","$591,271 "
53, R. Rodríguez,Milan,15,0.06,0.021,"$140,000 ","$591,271 "
54, H. Kane,Tottenham Hotspur,11,0.046,0.022,"$225,000 ","$583,335 "
55, Raúl García,Athletic Club de Bilbao,11,0.045,0.065,NA,"$582,768 "
56, M. Salah,Liverpool,10,0.042,0.126,NA,"$581,068 "
57, Fabinho,Liverpool,7,0.028,0.177,"$925,000 ","$573,131 "
58, T. Lemar,Atlético Madrid,6,0.024,0.005,NA,"$570,864 "
59, D. Wass,Valencia CF,6,0.023,0.017,NA,"$570,297 "
60, Angeliño,PSV,5,0.021,0.037,NA,"$569,163 "
61, C. Noboa,Napoli,4,0.018,0.086,"$700,000 ","$567,463 "
62, K. Boateng,FC Barcelona,4,0.017,0.008,NA,"$566,896 "
63, K. Asamoah,Inter,4,0.017,0.024,NA,"$566,896 "
64, D. Caligiuri,FC Schalke 04,4,0.015,0.046,NA,"$565,762 "
65, J. Rodríguez,FC Bayern München,3,0.014,0.044,NA,"$565,195 "
66, Grimaldo,SL Benfica,2,0.01,0.079,"$725,000 ","$562,928 "
67, M. Ham?ík,Dalian YiFang FC,1,0.004,0.018,NA,"$559,527 "
